,concept,language,word,ID,cc
255,you,FRENCH,ti,255,you:2
256,you,FRIULIAN,tu,256,you:3
257,you,GALICIAN,ti,257,you:2
258,you,GASCON,ti,258,you:2
259,you,ITALIAN,tu,259,you:3
260,you,ITALIAN_GROSSETO_TUSCAN,te,260,you:6
261,you,JUDEO_ESPAGNOL,vos,261,you:7
262,you,LANGUEDOCIEN,ti,262,you:2
263,you,LIGURIAN_GENOESE,ti,263,you:2
264,you,LIGURIAN_RAPALLO,ti,264,you:2
265,you,LIGURIAN_STELLA,ti,265,you:2
266,you,LOMBARD_BERGAMO,te,266,you:6
267,you,LOMBARD_PLESIO,ti,267,you:2
268,you,NEAPOLITAN_CALABRESE,tu,268,you:3
269,you,NONES,ti,269,you:2
270,you,NONES_GARDENESE,tu,270,you:3
271,you,OCCITAN_ARANESE,ti,271,you:2
272,you,PIEMONTESE_BARBANIA,ti,272,you:2
273,you,PIEMONTESE_CARMAGNOLA,ti,273,you:2
274,you,PIEMONTESE_LANZO_TORINESE,ti,274,you:2
275,you,PIEMONTESE_VERCELLESE,ti,275,you:2
276,you,PORTUGUESE,tu,276,you:3
277,you,ROMAGNOL_RAVENNATE,te,277,you:6
278,you,ROMANIAN,tu,278,you:3
279,you,ROMANIAN_2,tu,279,you:3
280,you,ROMANIAN_MEGLENO,tu,280,you:3
281,you,ROMANSH_GRISHUN,ti,281,you:2
282,you,ROMANSH_SURMIRAN,te,282,you:6
283,you,ROMANSH_SURSILVAN,ti,283,you:2
284,you,ROMANSH_VALLADER,tu,284,you:3
285,you,SARDINIAN_CAMPIDANESE,tuy,285,you:8
286,you,SARDINIAN_LOGUDARESE,tue,286,you:9
287,you,SPANISH,ustet,287,you:10
288,you,TURIA_AROMANIAN,tini,288,you:11
289,you,VALENCIAN,tu,289,you:3
290,you,VLACH,tini,290,you:11
291,star,ALBANIAN_GHEG,iL,291,star:0
292,star,ALBANIAN,ill,292,star:1
293,star,ALBANIAN_TOSK,uL,293,star:2
294,star,ARAGONESE,estrela,294,star:3
295,star,ARPITAN,etela,295,star:3
296,star,ASTURIAN,estrella,296,star:3
297,star,BALEAR_CATALAN,3stEl,297,star:3
298,star,CATALAN,3streL3,298,star:3
299,star,CATALAN_2,3stEl,299,star:3
300,star,CORSICAN,Steda,300,star:3
301,star,DALMATIAN,stala,301,star:3
302,star,EMILIANO_CARPIGIANO,stEla,302,star:3
303,star,EMILIANO_FERRARESE,stEla,303,star:3
304,star,EMILIANO_REGGIANO,strEla,304,star:3
305,star,FRENCH,etol,305,star:4
306,star,FRIULIAN,stelE,306,star:3
307,star,GALICIAN,Estrela,307,star:3
308,star,GASCON,estero,308,star:3
309,star,ITALIAN,stella,309,star:3
310,star,ITALIAN_GROSSETO_TUSCAN,stela,310,star:3
311,star,JUDEO_ESPAGNOL,estreya,311,star:3
312,star,LANGUEDOCIEN,estelo,312,star:3
313,star,LIGURIAN_GENOESE,stela,313,star:3
314,star,LIGURIAN_RAPALLO,stela,314,star:3
315,star,LIGURIAN_STELLA,StEya,315,star:3
316,star,LOMBARD_BERGAMO,stEla,316,star:3
317,star,LOMBARD_PLESIO,StEla,317,star:3
318,star,NEAPOLITAN_CALABRESE,stel3,318,star:3
319,star,NONES_FASSANO,Steyla,319,star:3
320,star,NONES_GARDENESE,St3yla,320,star:3
321,star,OCCITAN_ARANESE,estelo,321,star:3
322,star,PIEMONTESE_BARBANIA,stEyla,322,star:3
323,star,PIEMONTESE_CARMAGNOLA,stEyla,323,star:3
324,star,PIEMONTESE_LANZO_TORINESE,stEyla,324,star:3
325,star,PIEMONTESE_VERCELLESE,stola,325,star:3
326,star,PORTUGUESE,3Strela,326,star:3
327,star,ROMAGNOL_RAVENNATE,ste3la,327,star:3
